Number,Question,A,A_incomplete,B,B_incomplete,C,C_incomplete,D,D_incomplete,Answer
1,Circular economy represents:,a model of production and consumption that involves sharing,a model of pro??????? and consum????? that involves s??????,an industrial economy that is restorative or regenerative,an industrial ??????? that is ??????????? or regenerative,an economic system that targets zero waste and pollution,an economic ?????? that targets zero ????? and poll?????,an economic system in which the natural resources are turned into products that are ultimately destined to become waste,an ???????? system in which the ??????? re??????? are turned into prod???? that are ultimately destined to become waste,A&B&C
2,The circular economy has the potential to contribute significantly to the:,only for SDG 11 and SDG 12,only for SDG ?? and SDG ??,only for SDG 8 and SDG 9,only for SDG ?? and SDG ??,only for SDG 7 SDG 11 and SDG 13,only for ??? 7 SDG ??? and ??? 13,all the SDGs mentioned earlier,all the ???? mentioned ???????,D
3,Benefits of switching to a circular economy:,protect the environment,protect the ???????????,reduce raw material dependence,reduce ??? material depen?????,create jobs and save consumers money,create ???? and save consumers ?????,none of them,???? of them,A&B&C
4,The main proposed actions for the circular economy:,designing sustainable product,designing ??????????? product,empowering consumers and public buyers,empo?????? consumers and public buy???,circularity in production processes,circ??????? in production ?????????,designing sustainable products and unuse the circularity in the production processes,designing sust??????? prod???? and ??use the ??????????? in the production processes,A&B&C
5,Synonymous with bio-based economy:,bioeconomy or biotechonomy,???economy or biotech?????,circular economy,???????? economy,bioindustry,???ind?????,none of them,???? of them,A
6,Definiton of circular bioeconomy:,a part of Circular Economy,a ???? of Circular ???????,more than Bioeconomy and Circular economy alone,more than ?????????? and Cir????? economy alone,intersection of Bioeconomy and Circular economy,inter??????? of Bio??????? and Circular economy,circular economy without Bioeconomy,???????? economy ??????? Bioeconomy,A&B&C
7,The main polices of the EDG are in connection to:,increase climate ambition for 2030 and 2050,????ease climate ???????? for 2030 and 2050,supplying clean affordable and secure energy,supp????? clean ??ford???? and ?????? energy,a zero pollution ambition for a toxic free environment,a ???? pollution ambition for a ????? ???? enviro?????,no circular economy only industrial growth,?? circular economy only ?????trial ??????,A&B&C
8,Which country is the leader of the circular economy?,Romania,Ro?????,Denmark,????ark,France,F?????,Sweden,Sw????,B
9,Which actions will slow down the use of the natural resources?,reusing,re?????,recycling products,????????? products,improved healthcare,improved ??????????,improved logistics,improved ?????????,A&B
10,What is the aim of biopharma?,fight and prevent disease,????? and prevent di?????,use less plastic,use less ???????,improve healthcare,??????? healthcare,none of them,???? of them,A&C
11,Bio agricultural products can be divided into three major sectors:,seeds,se???,agro bio products,???? ??? products,plastic,pla????,bio fertilizers,bio ferti??????,A&B&D
12,One of the critical ways the circular economy can contribute to the SDGs is:,reducing waste,reducing ?????,reducing water,reducing ?????,reducing pollution,reducing ?????????,reducing energy consumption,reducing ????gy cons???????,A&C
13,Which city is successful in attempting to reduce waste and pollution?,Copenhagen,Cop???????,Oslo,O???,Malmo,M??mo,London,Lo????,C
14,Which industry benefited from the circular economy?,circular textile industry in the Netherlands,circular ??????? industry in the Net????????,circular textile industry in India,cir????? ???tile ind????? in India,circular automotive industry in Germany,circular ?????????? industry in Ger????,circular automotive industry in Romania,circular automotive ???????? in ???????,A
15,In which year was launched the "Zero Waste" program in San Francisco?,2000,??00,2010,??10,2003,???3,2002,2??2,D
16,What is biobased economy?,economic activity involving the use of biotechnology,???????? activity invol???? the use of bio??????????,economic activity involving the use of automotive,economic ???????? involving the ??? of auto??????,economic activity involving the use of fossils,eco????? ???????? involving the use of fo?????,none of them,???? of them,A
17,What are some uses of the biobased economy?,Therapeutics,???????utics,Medical devices,Med???? dev????,Vaccines,Vac?????,Health,He????,A&B&C
18,Which are raw materials?,proteins,pro?????,wood,w???,metal,me???,sugarcane,?????cane,B&C&D
19,What are some types of biotechnology?,red,r??,green,??ee?,dark,d???,orange,or????,A&B&C
20,What examples are biomass waste?,hydrogen,hyd?????,animal,ani???,forestry crops,forestry ?????,industrial,ind???????,B&C&D